,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,52.06,55.24,7.43,8.00,13.47,19.55,6.84,38990000000.0,17.28,38990000000.0,39910000000.0,34.13,3.25,7.47,32.50,7.47,2840000000.0,38990000000.0,N/A,2.30,14.40,8.50,1440000000.0,4.7,2540000000.0,2.33,15.91,586750000.0,38990000000.0,0.32,90.07,N/A,1.53,1.05,3090000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,53.64,66.67,0.50,1.38,5.03,3.43,1.38,4650000000.0,50.23,4650000000.0,5450000000.0,66.67,0.50,0.58,8.58,0.58,1920000000.0,4650000000.0,N/A,2.53,1740000000.0,7.90,1740000000.0,9.34,2690000000.0,1.76,18.26,765250000.0,4650000000.0,0.55,76.92,N/A,1.67,5.98,9770000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,187.14,39.91,8.36,33.71,20.91,24.15,12.51,39.91,15.82,39.91,39.91,33.00,3.28,8.17,27.68,8.17,104960000000.0,39.91,N/A,3.28,7.40,1.00,90940000000.0,5.35,122280000000.0,1.36,3.85,80670000000.0,39.91,0.07,59.66,N/A,0.56,0.56,87560000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,569.68,23.09,4.22,12.39,18.16,33.11,8.05,189170000000.0,25.47,189170000000.0,268279999999.99997,8.84,85.61,6.60,17.56,6.60,25830000000.0,189170000000.0,N/A,4.57,22.50,52.20,7960000000.0,4.51,87100000000.0,0.95,8.65,16010000000.000002,189170000000.0,0.10,70.00,N/A,1.69,0.78,5.2,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,0.98,13.93,0.11,5.58,1.80,1.09,3.10,21690000000.0,927.29,21690000000.0,21210000000.0,12.72,3.49,0.11,4.49,0.11,5190000000.0,21690000000.0,N/A,16.65,4600000000.0,7.90,4600000000.0,22.51,4600000000.0,0.98,4.99,2210000000.0,21690000000.0,28.05,67.12,N/A,2.58,1.82,3350000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,58.75,59.20,6.16,6.29,10.50,14.29,4.19,197810000000.0,18.19,197810000000.0,211650000000.0,25.25,3.50,6.57,27.81,6.57,18710000000.0,197810000000.0,N/A,1.89,28.30,9.60,4730000000.0,2.67,18560000000.0,1.70,17.71,6520000000.0,197810000000.0,0.69,75.58,N/A,1.83,0.51,11850000.0,N/A
6,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,478.06,10.51,0.12,5.23,1.46,3.91,6.51,7850000000.0,122.77,7850000000.0,20220000000.0,10.38,1.30,0.30,4.91,0.30,17590000000.0,7850000000.0,N/A,3.50,3.50,11.20,2400000000.0,5.08,14820000000.0,1.13,3540000000.0,3540000000.0,7850000000.0,14.94,73.63,N/A,9.43,14.36,20130000.0,N/A
7,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,18.61,32.17,3.78,9.65,11.74,14.84,11.61,173070000000.0,70.34,173070000000.0,167820000000.0,31.75,3.58,3.75,18.99,3.75,13980000000.0,173070000000.0,N/A,8.12,10.60,3.50,8680000000.0,13.68,3430000000.0,1.45,28.26,9030000000.0,173070000000.0,0.08,74.38,N/A,2.36,0.64,5690000.0,N/A
8,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,35.49,44.81,18.29,17.55,40.88,32.93,11.76,232830000000.0,26.75,232830000000.0,231540000000.0,43.29,2.40,17.99,45.86,17.99,11150000000.0,232830000000.0,N/A,10.83,164.10,14.40,5990000000.0,12.51,4710000000.0,1.48,27.69,N/A,232830000000.0,0.31,86.10,N/A,1.79,1.03,4850000.0,N/A
9,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,47.41,47.79,10.41,4.83,21.79,28.01,4.58,57910000000.0,15.20,57910000000.0,62000000000.0,26.95,2.38,11.07,26.77,11.07,3690000000.0,57910000000.0,N/A,3.28,39.20,5.80,1060000000.0,2.86,5690000000.0,1.84,32.47,2009999999.9999998,57910000000.0,0.32,94.55,N/A,10.51,7.63,26030000.0,N/A
10,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,47.77,18.59,0.47,1.51,2.53,2.60,2.35,29250000000.0,111.82,29250000000.0,36690000000.0,15.13,2.25,0.59,12.37,0.59,4150000000.0000005,29250000000.0,N/A,2.82,44.70,9.60,1.76,1.76,9280000000.0,1.64,34.75,3330000000.0,29250000000.0,0.39,82.13,N/A,2.09,0.85,4540000.0,N/A
